"","Time","Status","Event.Data","File"
"1","Feb 02, 2022 12:00:29 am","Offline","category: STATE, conversationType: null, contactId: null, queues: null, hungupBy: null"," afomiachewe .csv"
"2","Feb 02, 2022 03:00:08 pm","Available","category: STATE, conversationType: null, contactId: null, queues: US-EN ATO,US-EN Risk Tier 1,US-EN Disputes,CA-FR Risk,askupniewska-bpo@bpofit.com, hungupBy: null"," afomiachewe .csv"
"3","Feb 02, 2022 03:00:12 pm","Joining Customer","category: INBOUND, conversationType: Conversation Type: Voice, contactId: 7abc82a0-1a4a-4474-b3ed-984874cd6d55, queues: null, hungupBy: null"," afomiachewe .csv"
"4","Feb 02, 2022 03:00:12 pm","Connecting Agent","category: INBOUND, conversationType: Conversation Type: Voice, contactId: 7abc82a0-1a4a-4474-b3ed-984874cd6d55, queues: null, hungupBy: null"," afomiachewe .csv"
"5","Feb 02, 2022 03:00:13 pm","Connected","category: INBOUND, conversationType: Conversation Type: Voice, contactId: 7abc82a0-1a4a-4474-b3ed-984874cd6d55, queues: null, hungupBy: null"," afomiachewe .csv"
"6","Feb 02, 2022 03:00:18 pm","Busy","category: CONTACT, conversationType: Conversation Type: Voice, contactId: 7abc82a0-1a4a-4474-b3ed-984874cd6d55, queues: null, hungupBy: null"," afomiachewe .csv"
"7","Feb 02, 2022 03:06:58 pm","Wrap Up","category: CONTACT, conversationType: Conversation Type: Voice, contactId: 7abc82a0-1a4a-4474-b3ed-984874cd6d55, queues: null, hungupBy: null"," afomiachewe .csv"
"8","Feb 02, 2022 03:07:03 pm","Seller_Extra_ACW","category: STATE, conversationType: null, contactId: null, queues: null, hungupBy: null"," afomiachewe .csv"
"9","Feb 02, 2022 03:07:18 pm","Calling Customer","category: OUTBOUND, conversationType: Conversation Type: Voice, contactId: f07d4b4e-c2fd-4220-83a8-eccb5f20c84f, queues: null, hungupBy: null"," afomiachewe .csv"
"10","Feb 02, 2022 03:07:21 pm","Busy","category: CONTACT, conversationType: Conversation Type: Voice, contactId: f07d4b4e-c2fd-4220-83a8-eccb5f20c84f, queues: null, hungupBy: null"," afomiachewe .csv"
