"Agent","DateTime","Status"
"adrienne",NA,NA
"adrienne","Feb 02, 2022 12:00:12 am","Available"
"adrienne","Feb 02, 2022 12:21:25 am","Joining Customer"
"adrienne","Feb 02, 2022 12:21:26 am","Connecting Agent"
"adrienne","Feb 02, 2022 12:21:27 am","Connected"
"adrienne","Feb 02, 2022 12:21:33 am","Busy"
"adrienne","Feb 02, 2022 12:23:13 am","Wrap Up"
"adrienne","Feb 02, 2022 12:23:23 am","Available"
"adrienne","Feb 02, 2022 12:47:15 am","Joining Customer"
"adrienne","Feb 02, 2022 12:47:16 am","Connecting Agent"
"adrienne","Feb 02, 2022 12:47:17 am","Connected"
"adrienne","Feb 02, 2022 12:47:26 am","Busy"
"adrienne","Feb 02, 2022 12:48:25 am","Wrap Up"
"adrienne","Feb 02, 2022 12:48:35 am","Available"
"adrienne","Feb 02, 2022 01:00:14 am","Offline"
"adrienne","Feb 02, 2022 04:59:40 pm","Available"
"adrienne","Feb 02, 2022 05:11:31 pm","Joining Customer"
"adrienne","Feb 02, 2022 05:11:32 pm","Connecting Agent"
"adrienne","Feb 02, 2022 05:11:32 pm","Connected"
"adrienne","Feb 02, 2022 05:11:39 pm","Busy"
"adrienne","Feb 02, 2022 05:18:30 pm","Wrap Up"
"adrienne","Feb 02, 2022 05:18:40 pm","Available"
"adrienne","Feb 02, 2022 05:31:47 pm","Joining Customer"
"adrienne","Feb 02, 2022 05:31:48 pm","Connecting Agent"
"adrienne","Feb 02, 2022 05:31:49 pm","Connected"
"adrienne","Feb 02, 2022 05:31:54 pm","Busy"
"adrienne","Feb 02, 2022 05:40:13 pm","Wrap Up"
"adrienne","Feb 02, 2022 05:40:23 pm","Available"
"adrienne","Feb 02, 2022 05:53:41 pm","Joining Customer"
"adrienne","Feb 02, 2022 05:53:41 pm","Connecting Agent"
"adrienne","Feb 02, 2022 05:53:42 pm","Connected"
"adrienne","Feb 02, 2022 05:53:49 pm","Busy"
"adrienne","Feb 02, 2022 05:58:07 pm","Wrap Up"
"adrienne","Feb 02, 2022 05:58:17 pm","Available"
"adrienne","Feb 02, 2022 06:09:19 pm","Joining Customer"
"adrienne","Feb 02, 2022 06:09:19 pm","Connecting Agent"
"adrienne","Feb 02, 2022 06:09:21 pm","Connected"
"adrienne","Feb 02, 2022 06:09:28 pm","Busy"
"adrienne","Feb 02, 2022 06:11:11 pm","Wrap Up"
