"Agent","DateTime","Status"
"afomiachewe",NA,NA
"afomiachewe",NA,NA
"askupniewska",NA,NA
"askupniewska","Feb 02, 2022 12:00:29 am","Offline"
"askupniewska","Feb 02, 2022 03:00:08 pm","Available"
"askupniewska","Feb 02, 2022 03:00:12 pm","Joining Customer"
"askupniewska","Feb 02, 2022 03:00:12 pm","Connecting Agent"
"askupniewska","Feb 02, 2022 03:00:13 pm","Connected"
"askupniewska","Feb 02, 2022 03:00:18 pm","Busy"
"askupniewska","Feb 02, 2022 03:06:58 pm","Wrap Up"
"askupniewska","Feb 02, 2022 03:07:03 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:07:18 pm","Calling Customer"
"askupniewska","Feb 02, 2022 03:07:21 pm","Busy"
"askupniewska","Feb 02, 2022 03:07:45 pm","Wrap Up"
"askupniewska","Feb 02, 2022 03:07:46 pm","Dialout"
"askupniewska","Feb 02, 2022 03:09:06 pm","Available"
"askupniewska","Feb 02, 2022 03:14:14 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:14:16 pm","Available"
"askupniewska","Feb 02, 2022 03:16:01 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:16:02 pm","Available"
"askupniewska","Feb 02, 2022 03:18:02 pm","Dialout"
"askupniewska","Feb 02, 2022 03:18:04 pm","Available"
"askupniewska","Feb 02, 2022 03:21:23 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:21:25 pm","Available"
"askupniewska","Feb 02, 2022 03:24:18 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:24:19 pm","Available"
"askupniewska","Feb 02, 2022 03:27:47 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:27:49 pm","Available"
"askupniewska","Feb 02, 2022 03:33:14 pm","Non_Core_Work"
"askupniewska","Feb 02, 2022 03:36:19 pm","Available"
"askupniewska","Feb 02, 2022 03:39:03 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:40:16 pm","Available"
"askupniewska","Feb 02, 2022 03:43:46 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:43:47 pm","Available"
"askupniewska","Feb 02, 2022 03:46:36 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:46:38 pm","Available"
"askupniewska","Feb 02, 2022 03:47:30 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:47:31 pm","Available"
"askupniewska","Feb 02, 2022 03:51:51 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:51:52 pm","Available"
"askupniewska","Feb 02, 2022 03:53:39 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:53:41 pm","Available"
"askupniewska","Feb 02, 2022 03:55:10 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 03:55:11 pm","Available"
"askupniewska","Feb 02, 2022 03:59:04 pm","Dialout"
"askupniewska","Feb 02, 2022 03:59:05 pm","Available"
"askupniewska","Feb 02, 2022 04:05:08 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 04:05:10 pm","Available"
"askupniewska","Feb 02, 2022 04:11:04 pm","Seller_Extra_ACW"
"askupniewska","Feb 02, 2022 04:11:05 pm","Available"
"askupniewska","Feb 02, 2022 04:15:14 pm","Seller_Extra_ACW"
